name,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31
°¥ºñ±¸ÀÌ,100,68.33333,46.66666,35,50,31.66666,45,51.66666,43.33333,41.66666,38.33333,36.66666,21.66666,38.33333,45,45,40,43.33333,30,43.33333,41.66666,55,20,26.66666,23.33333,30,28.33333,26.66666,33.33333,23.33333,20
°¥ºñÂò,100,80.88952,77.05117,53.35093,49.73598,51.90901,56.21445,62.1649,57.16896,44.76035,44.00893,44.6385,44.6385,51.58407,52.88383,42.44516,40.15028,38.16003,41.87652,43.39967,47.60357,45.24776,39.74411,38.38342,37.77416,38.44435,41.1251,46.64906,47.58326,38.58651,37.73354
°¥ºñÅÁ,91.48375,87.62071,87.51097,62.53292,69.05179,64.74978,77.39244,93.74451,89.66198,69.18349,71.94907,67.93239,68.964,86.36962,95.2151,73.02458,77.83143,67.7129,69.35908,72.71729,85.66725,100,76.29499,73.35381,69.05179,69.44688,68.39332,75.74626,94.29323,68.50307,68.63476
°¥Ä¡±¸ÀÌ,56.23946,58.4317,62.3946,50.75885,49.24114,41.06239,48.0607,64.75548,71.41652,51.09612,56.32377,54.38448,46.03709,58.9376,76.22259,64.33389,66.44182,58.4317,52.19224,43.50758,54.72175,64.58684,56.91399,52.86677,46.12141,50.92748,46.03709,54.55311,100,65.17706,53.79426
°¥Ä¡Á¶¸²,64.78024,69.38934,78.86036,61.27965,60.50175,57.52625,65.36367,86.44496,86.21159,70.43951,72.05367,62.27148,58.28471,73.12329,90.60676,81.17464,75.34033,72.38428,71.04239,63.84675,72.87047,91.98755,77.49902,76.40995,68.30027,65.44146,63.43835,67.89187,100,86.46441,76.07934
°¥Ä¡Âî°³,52.60869,59.13043,70,54.7826,50.43478,49.13043,57.3913,65.21739,71.30434,60.43478,59.56521,62.17391,51.30434,63.47826,95.21739,95.21739,73.47826,66.08695,81.30434,70.43478,66.52173,100,83.47826,87.3913,71.30434,61.73913,66.95652,52.60869,81.30434,82.17391,63.04347
°¨ÀÚ±¸ÀÌ,42.85714,59.18367,89.79591,42.85714,69.38775,67.34693,61.22448,75.5102,100,65.30612,87.7551,57.14285,26.53061,71.42857,77.55102,100,83.67346,57.14285,75.5102,63.2653,59.18367,59.18367,73.46938,57.14285,65.30612,63.2653,48.97959,40.81632,91.83673,71.42857,69.38775
°¨ÀÚ±¹,56.6265,72.28915,88.55421,90.12048,77.22891,63.61445,64.57831,80.12048,100,88.43373,81.20481,76.38554,62.28915,66.02409,78.31325,93.85542,88.31325,81.92771,85.3012,67.34939,62.89156,83.01204,97.46987,84.21686,71.08433,71.68674,64.21686,61.08433,99.75903,87.22891,70.6024
°¨ÀÚººÀ½,44.99131,62.7678,83.84481,78.69137,79.44412,57.32484,63.98378,78.11233,100,87.31905,82.86045,71.7429,64.73653,73.71163,88.24551,94.32541,83.26577,79.09669,76.54892,58.48291,62.53618,88.59293,90.67747,82.86045,77.01215,69.54255,55.00868,64.56282,87.14533,91.54603,82.80254
°¨ÀÚ»ø·¯µå,55.79514,71.42857,88.31985,82.03054,77.71787,75.38185,80.59299,95.50763,100,85.62443,88.31985,85.08535,77.26864,75.74123,89.30817,80.86253,83.4681,79.60467,80.77268,74.75292,70.44025,75.83108,78.79604,79.06558,75.38185,72.14734,65.31895,64.06109,74.75292,76.28032,75.1123
°¨ÀÚ½ºÇÁ,51.78571,60.20408,78.57142,53.82653,56.63265,60.71428,66.83673,73.46938,79.59183,62.5,59.18367,79.08163,57.14285,75.2551,67.09183,62.24489,58.67346,51.78571,64.54081,100,73.97959,74.74489,59.18367,78.57142,60.45918,60.20408,50.7653,63.0102,71.93877,59.94897,59.18367
°¨ÀÚÀü,66.43646,70.85635,81.56077,63.67403,56.1464,56.35359,66.78176,100,92.40331,57.04419,61.04972,54.97237,51.03591,88.12154,83.35635,66.16022,69.47513,63.95027,86.32596,54.62707,66.02209,75.20718,56.42265,56.00828,50.06906,56.97513,64.91712,83.21823,98.48066,63.39779,57.52762
°¨ÀÚÁ¶¸²,45.59884,58.58585,87.91486,82.61183,79.4733,62.73448,59.88455,75.5772,100,90.29581,81.31313,76.94805,65.40404,70.23809,89.50216,91.45021,86.25541,78.39105,71.24819,60.82251,59.5238,82.5036,83.9466,81.74603,69.11976,66.66666,54.87012,56.2049,76.62337,84.99278,77.5974
°¨ÀÚÅÁ,84.26943,79.10052,72.10012,40.61864,47.11029,49.83719,61.87423,90.32356,79.3142,47.27309,48.20919,45.89947,53.0525,72.91412,80.31135,49.70492,50.38665,48.09727,53.1339,60.02238,76.73992,89.70288,54.5584,52.5234,49.50142,49.58282,67.21611,82.09198,100,57.80423,55.54538
°¨ÀÚÆ¢±è,52.92242,57.38575,62.69925,60.25504,63.2306,69.81934,82.25292,100,90.32943,75.55791,71.73219,70.98831,67.16259,68.96918,71.09458,66.52497,66.84378,64.71838,61.1052,57.59829,56.11052,66.20616,64.82465,63.54941,66.95005,60.99893,54.4102,63.54941,60.99893,67.37513,59.51115
°Ç»õ¿ìººÀ½,70.36423,77.48344,88.90728,92.21854,75.82781,68.7086,71.19205,69.86754,100,82.1192,76.65562,74.33774,64.90066,67.3841,90.06622,85.92715,87.41721,76.15894,69.70198,51.49006,60.59602,79.80132,79.13907,61.09271,66.88741,62.41721,64.23841,56.45695,85.59602,78.80794,71.68874
°ÇÇ¥°í¹ö¼¸ººÀ½,46.91358,69.1358,76.5432,60.49382,58.02469,54.32098,64.19753,51.85185,100,77.77777,70.37037,59.25925,53.08641,64.19753,64.19753,43.20987,59.25925,74.07407,61.72839,50.61728,46.91358,62.96296,76.5432,38.2716,59.25925,44.44444,46.91358,58.02469,49.38271,39.50617,49.38271
°Ô±¹Áö,100,84.80161,53.93409,42.36718,38.06321,37.72696,58.17081,96.77202,61.53328,47.20914,39.4082,36.18022,41.29119,56.15332,59.3813,40.14794,34.70073,35.97848,69.26698,65.43375,66.50975,65.501,51.10961,40.75319,44.11566,49.83187,45.6624,52.8581,57.09482,36.24747,31.54001
°Ô»ìÁ×,58.77192,54.38596,71.05263,50,50.87719,58.77192,51.75438,56.14035,53.50877,59.64912,65.78947,57.89473,57.01754,60.52631,65.78947,69.29824,61.4035,68.42105,66.66666,50,57.01754,67.54385,100,86.8421,84.21052,79.82456,64.91228,75.43859,98.24561,78.07017,84.21052
°è¶õµ¤¹ä,48.46938,57.14285,77.04081,55.61224,52.04081,39.28571,57.65306,100,85.20408,62.24489,75.5102,54.08163,54.59183,52.55102,78.57142,64.79591,65.30612,73.46938,72.44897,49.48979,65.81632,84.18367,58.16326,58.67346,55.10204,54.59183,38.77551,54.08163,62.24489,58.67346,56.12244
°í±¸¸¶¸ÀÅÁ,41.72116,46.56029,61.10384,45.09547,48.8883,45.40936,56.9448,72.16845,85.24718,63.11797,66.46612,64.58278,58.20036,73.84253,92.51896,72.43002,73.52864,73.29322,73.11012,62.30708,71.80224,100,76.82448,81.40204,70.28511,63.74574,57.83416,67.38163,89.56317,67.32932,68.3233
°í±¸¸¶Àü,53.78548,51.41955,53.62776,44.32176,42.74447,35.80441,40.53627,52.2082,70.347,49.84227,45.74132,44.95268,46.05678,59.62145,56.78233,51.26182,58.20189,61.67192,76.49842,43.69085,72.23974,100,83.12302,83.43848,70.50473,76.18296,52.99684,60.88328,73.50157,64.35331,59.46372
°í±¸¸¶ÁÙ±â³ª¹°,86.66666,56.66666,60,100,86.66666,40,40,73.33333,76.66666,43.33333,60,43.33333,50,46.66666,26.66666,56.66666,50,40,26.66666,0,23.33333,43.33333,60,23.33333,16.66666,0,30,0,23.33333,23.33333,23.33333
°í±¸¸¶Æ¢±è,56.00612,57.76587,67.02371,47.74292,47.05432,48.73756,58.60749,79.64804,85.23335,56.69472,64.1928,60.36725,60.90283,79.64804,89.59449,67.10022,67.71231,70.00765,78.88293,63.96327,76.20504,100,70.00765,72.91507,64.49885,67.94185,58.76052,70.69625,86.15149,66.64116,62.73909
°íµî¾î±¸ÀÌ,57.90554,71.97125,82.44353,69.19917,69.81519,60.57494,60.26694,80.28747,95.58521,77.5154,86.13963,85.52361,79.05544,79.67145,100,97.33059,96.20123,89.73305,89.73305,65.70841,82.23819,94.76386,91.99178,94.66119,88.9117,78.54209,69.40451,76.18069,91.2731,90.55441,88.50102
°íµî¾îÁ¶¸²,40.27572,52.88035,66.42048,55.04677,61.93993,54.45593,53.56967,67.84835,79.56671,72.27966,80.10832,75.18463,70.064,70.01477,76.6125,77.64647,78.68045,77.40029,69.37469,60.36435,74.1999,80.40374,90.10339,93.30379,87.19842,85.5736,73.51058,72.42737,96.89807,100,92.86065
°íµî¾îÂî°³,58.13953,60.46511,58.13953,44.18604,44.18604,65.11627,41.86046,69.76744,53.48837,48.8372,100,65.11627,62.79069,48.8372,83.72093,86.04651,74.4186,55.81395,55.81395,72.09302,41.86046,65.11627,76.74418,51.16279,76.74418,62.79069,58.13953,46.51162,88.37209,79.06976,74.4186
°íÃßÀâÃ¤,83.72093,92.5872,92.5872,76.45348,87.2093,89.97093,91.71511,99.7093,100,82.84883,82.26744,90.11627,96.80232,81.25,91.13372,98.25581,93.31395,88.66279,92.15116,87.5,80.3779,98.54651,86.6279,88.37209,75.43604,81.54069,86.19186,87.2093,77.18023,73.54651,87.93604
°íÃßÀå¹®¾îººÀ½,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
°íÃßÀåºÒ°í±â,48.4756,58.9939,65.70121,62.65243,65.39634,61.7378,67.9878,76.21951,82.77439,66.76829,71.95121,72.10365,64.93902,76.37195,89.78658,85.82317,76.9817,84.75609,83.38414,70.42682,73.93292,100,85.9756,96.34146,87.34756,88.71951,78.96341,88.26219,91.61585,66.46341,64.78658
°íÃßÀåºÒ°í±â»ï°¢±è¹ä,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,75,62.5,0,75,100
°íÃßÀåÂî°³,67.51193,78.07279,93.91408,79.8031,78.63961,68.79474,72.07637,89.08114,100,80.07159,78.69928,73.06085,64.61813,72.34486,85.26252,85.35202,78.19212,78.16229,77.29713,63.45465,64.9463,77.89379,79.5346,72.52386,71.44988,69.54057,59.90453,61.36634,74.9105,75.65632,71.33054
°íÃßÀü,100,73.61963,74.53987,54.60122,50.61349,51.22699,44.17177,58.58895,62.57668,60.12269,47.54601,37.11656,35.27607,43.25153,37.11656,39.57055,45.39877,35.58282,37.11656,34.04907,30.06134,33.43558,32.20858,31.90184,21.16564,28.22085,33.12883,30.36809,34.35582,42.02453,33.43558
°íÃßÁ¶¸²,67.33333,81.33333,92.66666,90,80,56,97.33333,77.33333,94,84.66666,98,69.33333,80.66666,67.33333,77.33333,95.33333,88.66666,82.66666,65.33333,66.66666,75.33333,100,64.66666,64.66666,56,71.33333,63.33333,64.66666,88,81.99999,56
°íÃßÆ¢±è,39.25233,33.83177,38.50467,35.14018,32.89719,39.62616,34.39252,37.57009,100,56.26168,37.19626,39.43925,36.82242,34.39252,35.51401,35.14018,36.82242,34.76635,37.00934,27.85046,36.26168,41.30841,35.70093,38.69158,39.25233,37.00934,36.26168,33.45794,37.57009,40.74766,34.2056
°ïµå·¹³ª¹°¹ä,83.83152,96.19565,99.04891,75.81521,74.72826,60.86956,72.2826,90.76086,98.77717,71.60326,69.1576,69.56521,75.81521,81.79347,100,84.10326,85.86956,75.27173,72.41847,66.57608,73.23369,91.30434,74.32065,81.11413,83.42391,69.83695,63.17934,76.35869,94.83695,71.05978,69.1576
°ï¾à¹«Ä§,39.53488,51.16279,100,95.34883,83.72093,83.72093,65.11627,60.46511,60.46511,76.74418,69.76744,100,37.2093,48.8372,53.48837,76.74418,62.79069,53.48837,37.2093,32.55813,44.18604,55.81395,53.48837,60.46511,83.72093,74.4186,53.48837,44.18604,67.44186,60.46511,81.39534
°ñ¹ðÀÌ¹«Ä§,95.23809,84.4922,71.38643,57.64854,55.66793,67.13021,100,86.64138,74.37842,55.20438,53.72945,60.64053,75.76906,82.76443,70.20648,51.11672,59.54487,56.42646,63.2954,70.08006,82.84871,70.08006,52.59165,53.51875,56.84787,61.35693,74.08343,79.98314,68.60514,56.55288,56.6793
°õÄ¡±¹,100,77.29468,46.8599,35.02415,33.81642,35.74879,47.10144,93.47826,59.17874,41.0628,38.64734,39.61352,47.58454,59.42028,57.48792,49.5169,39.61352,39.61352,44.44444,54.34782,61.35265,52.17391,50.48309,46.8599,45.41062,44.20289,49.75845,67.87439,69.08212,42.99516,46.13526
°õÅÁ,90.18743,88.31312,84.72987,55.95369,65.21499,59.37155,69.51488,91.62072,88.09261,64.66372,62.07276,61.742,59.4818,74.20066,88.97464,80.76074,69.51488,71.16868,71.88533,71.27894,77.67364,93.55016,73.59426,74.80705,67.53031,66.97905,70.01102,84.785,100,76.07497,69.79051
°öÃ¢±¸ÀÌ,100,89.28571,70.53571,67.85714,56.69642,66.51785,82.58928,93.75,59.375,75.89285,62.05357,62.5,76.33928,83.03571,93.30357,62.5,70.08928,76.33928,81.69642,60.26785,84.375,71.42857,61.16071,66.07142,47.32142,56.69642,83.03571,72.32142,61.16071,52.23214,63.39285
°öÃ¢ººÀ½,93.72822,76.65505,83.27526,62.71777,58.88501,68.64111,72.12543,100,78.39721,67.59581,62.71777,72.47386,77.70034,87.80487,83.27526,55.40069,70.38327,58.88501,65.85365,74.91289,91.63763,86.41114,71.08013,72.82229,67.59581,79.09407,89.1986,74.56445,70.03484,58.53658,60.9756
°öÃ¢Àü°ñ,65.86666,66.36666,62.8,48.3,51,50.43333,51.5,74.1,55.53333,44.4,50.63333,46.23333,50.9,59.93333,56.16666,48.13333,48.46666,48.26666,100,72.9,73.16666,64.93333,49.93333,55.63333,53.3,50.93333,55.2,57.43333,57.83333,46.23333,46.4
°úÀÏ»ø·¯µå,55.87188,55.16014,58.71886,67.25978,75.80071,59.78647,64.05693,56.58362,61.20996,68.68327,81.13879,74.02135,66.54804,50.88967,59.78647,74.73309,68.68327,67.61565,74.37722,74.37722,57.65124,60.85409,80.78291,82.2064,90.39145,89.67971,90.74733,86.83274,93.5943,100,92.17081
±¹¹ä,97.15099,88.76226,80.74285,47.47282,54.02553,53.49794,67.37364,100,83.98227,50.88108,49.09781,49.18223,50.29017,70.32816,89.79634,54.37374,52.65379,48.23256,52.66434,56.76901,78.87517,94.6713,53.48739,51.12377,48.65463,48.01097,53.81449,70.80299,93.29956,51.12377,49.02395
±¼±¹,6.24551,6.24551,6.38908,7.32232,11.41421,12.92175,12.70638,11.486,16.58291,18.23402,19.74156,26.63316,28.93036,32.66331,34.96051,43.57501,46.66188,47.95405,52.8356,60.01435,77.96123,76.45369,84.42211,81.98133,87.00646,80.61737,74.58722,77.02799,100,86.86288,86.36037
±¼ºñ±¸ÀÌ,91.81818,73.63636,100,64.54545,69.0909,57.27272,55.45454,60,67.27272,40,43.63636,45.45454,41.81818,47.27272,52.72727,46.36363,39.0909,36.36363,37.27272,33.63636,31.81818,45.45454,48.18181,44.54545,18.18181,36.36363,27.27272,37.27272,32.72727,31.81818,25.45454
±¼Àü,5.4242,5.84144,5.91098,9.17941,9.6662,11.1961,11.82197,11.05702,15.29902,17.73296,15.57719,20.79276,26.63421,30.52851,28.09457,29.20723,34.28372,35.2573,46.94019,57.3018,67.87204,64.46453,65.50764,69.47148,67.31571,70.5146,81.01529,85.95271,100,79.06815,81.84979
±â½º¸é,65.84269,82.69662,79.55056,50.56179,61.12359,64.94382,78.42696,80,70.11235,52.58426,68.53932,64.49438,72.58426,79.77528,83.5955,54.83146,70.78651,70.78651,80.22471,75.50561,100,88.76404,59.10112,75.28089,73.70786,75.05617,78.65168,86.29213,78.20224,60.67415,63.5955
±è¸»ÀÌÆ¢±è,79.59183,85.71428,93.19727,83.67346,79.59183,79.59183,80.95238,66.66666,83.67346,76.87074,67.34693,89.11564,65.98639,74.82993,65.30612,74.82993,97.95918,100,87.07482,81.63265,76.87074,88.43537,76.87074,64.62585,86.39455,98.63945,74.82993,67.34693,76.19047,70.06802,83.67346
±è¹«Ä§,40.72398,67.8733,70.58823,72.39819,72.85067,63.8009,69.68325,71.49321,95.02262,93.21266,96.83257,78.73303,67.8733,75.56561,84.16289,98.64253,78.73303,76.47058,85.97285,56.10859,70.13574,100,83.25791,78.28054,78.73303,70.58823,58.82352,69.23076,69.23076,76.01809,71.04072
±è¹ä,100,94.39714,72.88985,60.63485,63.36699,68.77845,90.12736,91.15686,86.22714,68.43529,68.24391,67.80175,68.70586,80.12274,92.89909,67.2936,68.2769,63.65076,60.56226,61.49277,81.22483,88.23335,64.77925,61.27499,61.1628,61.1496,68.00633,91.63202,94.47634,66.2311,62.06691
±èÄ¡±¹,90.61583,91.20234,100,90.02932,79.17888,71.8475,68.91495,96.18768,95.01466,73.31378,80.64516,71.55425,68.32844,69.79472,95.01466,76.83284,70.08797,67.74193,77.12609,65.68914,75.07331,88.26979,78.29912,65.68914,70.67448,61.58357,65.10263,66.56891,80.93841,73.02052,73.90029
±èÄ¡¸»ÀÌ±¹¼ö,80.721,77.11598,77.5862,47.49216,43.26018,53.29153,61.75548,72.25705,77.5862,51.88087,50.78369,47.6489,42.9467,57.05329,71.15987,47.96238,47.49216,40.12539,45.61128,37.14733,49.84326,63.16614,42.31974,45.45454,41.53605,43.7304,44.35736,55.17241,100,73.35423,62.2257
±èÄ¡ººÀ½,54.7079,69.4158,81.78694,65.15463,59.72508,56.28865,64.81099,76.97594,100,77.45704,69.48453,70.79037,57.31958,70.30927,94.29553,78.48797,73.88316,66.46048,67.90378,59.72508,66.0481,83.78006,73.60824,74.91408,65.08591,64.53608,56.90721,65.63573,81.44329,73.33333,69.62199
±èÄ¡ººÀ½¹ä,64.61843,72.71225,91.90617,60.95143,61.05054,54.80673,65.80773,87.80971,100,63.75949,59.96035,61.21572,55.46745,71.62206,84.01057,65.8738,60.15857,61.97555,64.38718,52.13082,66.6997,85.39808,66.63363,63.3961,59.96035,57.7139,52.32903,66.00594,85.33201,64.88272,59.13445
±èÄ¡Àü,52.45674,51.55709,72.73356,70.51903,48.30449,45.32871,58.06228,76.12456,68.4429,46.98961,43.25259,46.43598,45.95155,87.33564,65.88235,51.7647,51.55709,47.12802,100,47.26643,54.46366,62.49134,48.3737,58.54671,46.22837,66.43598,53.07958,53.91003,64.42906,54.11764,51.6955
±èÄ¡Àü°ñ,57.26495,75.21367,100,52.99145,66.66666,47.86324,55.55555,62.39316,86.32478,50.42735,55.55555,42.73504,71.79487,58.11965,64.95726,66.66666,84.61538,54.70085,50.42735,63.24786,77.77777,70.94017,57.26495,65.81196,60.68376,61.53846,57.26495,63.24786,66.66666,74.35897,56.41025
±èÄ¡Âî°³,70.62947,73.47965,83.02088,61.27114,57.11019,54.70202,55.37265,81.14616,100,60.11278,58.36,56.31763,52.5682,62.35329,78.32647,65.55403,60.4481,57.82655,59.51836,54.12284,59.41167,77.70156,62.1704,58.28379,54.54961,54.54961,52.2024,58.87821,75.70492,61.72839,56.74439
±èÄ¡Âò,72.8313,74.86157,87.00627,61.7571,57.51199,58.76707,68.06939,86.26799,89.77482,62.79069,62.42155,59.35769,58.13953,75.00922,88.48283,72.5729,67.84791,64.34108,62.53229,62.16315,79.36507,95.12735,75.89516,78.14691,75.19379,72.90513,67.36803,78.81136,100,74.08637,67.70025
±èÆ¢±è,48,72,96,60,48,40,68,60,92,56,44,28,48,84,88,52,100,52,60,48,68,80,76,68,36,56,48,32,36,32,68
±î¸£º¸³ª¶ó,63.63636,67.76859,69.62809,58.47107,61.15702,65.49586,67.14876,67.35537,82.2314,59.0909,63.63636,66.32231,61.98347,69.62809,69.21487,63.84297,69.42148,72.52066,63.42975,71.28099,75.20661,79.13223,65.90909,100,73.55371,66.1157,73.76033,69.83471,79.13223,72.93388,73.55371
±ñ¼î»õ¿ì,100,90.48295,85.22727,55.68181,60.6534,58.94886,75,76.70454,75.99431,55.11363,63.63636,60.22727,71.875,70.3125,70.59659,52.13068,66.19318,62.64204,62.2159,61.36363,76.2784,81.96022,58.38068,64.20454,60.22727,60.6534,67.75568,77.8409,71.73295,50.14204,55.39772
±ñÇ³±â,85.54112,81.38528,75.23809,55.58441,57.92207,67.09956,77.57575,84.58874,78.44155,66.83982,65.36796,65.6277,74.02597,86.40692,85.45454,61.64502,67.7922,64.329,67.27272,74.89177,83.0303,92.29437,70.04329,67.53246,67.96536,73.85281,77.40259,92.64069,100,65.88744,66.75324
±ñÇ³»õ¿ì,89.11917,79.79274,69.43005,42.48704,50.7772,54.92227,76.68393,72.02072,72.53886,48.18652,45.59585,50.25906,60.62176,76.68393,100,54.92227,53.36787,47.15025,66.32124,66.32124,70.98445,90.15544,39.37823,40.93264,65.8031,53.88601,56.99481,87.04663,84.97409,49.74093,61.13989
±úÁ×,68.65671,46.26865,47.76119,67.16417,83.58208,67.16417,56.71641,88.0597,67.16417,61.19402,58.20895,71.64179,74.62686,85.07462,82.08955,74.62686,76.1194,41.79104,49.25373,89.55223,77.61194,65.67164,50.74626,92.53731,67.16417,86.56716,80.59701,74.62686,100,83.58208,77.61194
²¢ÀÙÀü,100,69.3825,63.72212,51.02915,48.45626,43.48198,44.8542,39.7084,39.87993,31.9897,30.61749,30.96054,30.27444,30.10291,29.93138,30.87478,30.01715,27.7873,32.16123,27.27272,27.01543,29.07375,29.58833,30.87478,27.87307,30.87478,33.79073,35.24871,33.96226,34.47684,35.33447
²¢ÀÙÂò,50.23923,61.96172,81.57894,64.83253,69.37799,69.37799,78.70813,69.13875,90.90909,79.9043,77.51196,70.81339,63.39712,61.24401,83.25358,67.22488,80.622,75.59808,66.74641,49.52153,70.81339,100,83.49282,92.10526,91.86602,78.70813,67.70334,72.00956,87.79904,86.36363,76.07655
²¿¸®°õÅÁ,43.91468,50.1882,50.81555,37.76662,42.03262,43.28732,52.44667,47.42785,45.42032,42.78544,45.54579,42.15809,48.0552,67.37766,67.6286,72.39648,70.63989,79.79924,82.43412,75.90966,87.70388,97.61606,82.68506,97.36511,100,95.10664,73.90213,86.32371,89.96235,75.15683,87.202
²¿¸·¹«Ä§,44.2231,42.23107,45.01992,53.12084,54.71447,59.76095,56.7065,57.23771,62.5498,66.79946,69.3227,75.83001,76.09561,76.09561,87.6494,82.07171,82.20451,83.93094,79.01726,80.87649,82.60292,84.46215,84.46215,90.57104,90.30544,100,79.94687,88.44621,99.33598,94.82071,89.64143
²¿¸·Âò,20.45454,29.54545,43.18181,20.45454,65.90909,52.27272,59.0909,65.90909,68.18181,31.81818,50,47.72727,75,61.36363,75,36.36363,27.27272,40.90909,65.90909,65.90909,77.27272,72.72727,59.0909,77.27272,54.54545,61.36363,84.0909,81.81818,79.54545,65.90909,100
²ÇÄ¡±¸ÀÌ,29.0909,52.72727,78.18181,40,52.72727,52.72727,60,52.72727,96.36363,60,72.72727,61.81818,52.72727,56.36363,69.0909,69.0909,72.72727,61.81818,72.72727,32.72727,52.72727,61.81818,83.63636,90.90909,50.90909,87.27272,60,100,83.63636,45.45454,76.36363
²ÇÄ¡Á¶¸²,29.03225,51.6129,43.01075,76.34408,49.46236,63.44086,51.6129,65.59139,70.96774,84.94623,73.11827,81.72043,40.86021,64.51612,66.66666,83.87096,100,80.64516,75.26881,48.38709,52.68817,76.34408,81.72043,67.74193,81.72043,82.79569,59.13978,54.8387,63.44086,75.26881,88.17204
²ÇÄ¡Âî°³,41.37931,58.62068,67.24137,48.27586,46.55172,37.93103,36.20689,48.27586,84.48275,58.62068,46.55172,36.20689,37.93103,51.72413,75.86206,39.65517,65.51724,51.72413,63.7931,60.34482,58.62068,67.24137,100,87.93103,55.17241,50,44.82758,58.62068,82.75862,70.68965,55.17241
²É°ÔÄá³ª¹°Âò,50,45,60,50,85,0,65,90,65,50,75,45,55,75,65,65,35,65,40,30,70,100,35,30,45,75,65,95,50,50,40
²É°ÔÅÁ,83.9778,81.1493,86.43036,60.36519,65.78947,65.80737,85.33834,99.21231,93.17937,68.0093,66.36233,65.73576,78.69674,100,97.11779,68.17042,59.02255,59.09416,62.47762,68.27783,86.14393,83.60186,60.95596,62.20909,60.56211,56.83852,55.42427,71.7329,76.31578,54.11743,53.54457
²Ê¸®°íÃßÂò,48.55967,60.35665,84.91083,79.28669,80.65843,66.52949,68.72427,74.21124,100,85.32235,83.67626,76.26886,68.31275,66.66666,84.08779,90.3978,81.61865,69.54732,68.17558,59.25925,59.25925,78.60082,81.893,78.05212,69.41015,68.44993,60.76817,59.94513,87.10562,78.60082,77.36625
²æºÒ°í±â,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
³«Áö²¿Ä¡±¸ÀÌ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
³«Áöµ¤¹ä,75,82.35294,74.2647,59.55882,71.32352,61.7647,68.38235,66.91176,80.14705,74.2647,80.88235,76.47058,55.14705,77.94117,100,83.82352,83.08823,63.23529,67.64705,82.35294,66.91176,85.29411,66.91176,71.32352,64.70588,63.23529,63.97058,61.02941,64.70588,80.88235,95.58823
³«ÁöººÀ½,100,93.35356,94.11229,63.58118,63.27769,59.96965,75.69044,93.65705,94.41578,67.04097,72.56449,72.23065,75.96358,87.86039,98.4522,78.3308,73.7481,73.6267,69.83308,68.49772,79.27162,96.11532,72.0789,69.71168,75.14415,74.65857,73.8088,85.73596,97.17754,76.81335,71.10773
³«ÁöÀü°ñ,60.78431,60.78431,52.94117,32.67973,50.32679,34.64052,74.5098,100,69.28104,41.83006,53.59477,35.94771,39.86928,37.90849,53.59477,36.6013,43.79084,47.05882,30.06535,52.28758,75.81699,49.6732,45.09803,36.6013,41.83006,49.0196,54.24836,52.94117,61.4379,41.17647,43.13725
³«ÁöÂò,100,57.4468,51.06382,36.17021,29.78723,31.91489,53.19148,68.0851,70.21276,40.42553,40.42553,27.65957,42.55319,40.42553,46.80851,23.40425,34.04255,29.78723,46.80851,27.65957,53.19148,87.23404,42.55319,48.93617,44.68085,31.91489,46.80851,80.85106,76.59574,31.91489,61.70212
³«ÁöÅÁ,69.41176,61.17647,75.29411,54.11764,75.29411,41.17647,51.7647,63.52941,58.82352,56.47058,51.7647,74.11764,62.35294,81.17647,83.52941,87.05882,64.70588,71.7647,76.47058,63.52941,71.7647,56.47058,48.23529,67.05882,60,55.29411,81.17647,92.94117,100,56.47058,44.70588
³­ÀÚ¿Ï½º,93.90862,80.45685,74.61928,75.63451,81.72588,96.4467,72.08121,89.84771,77.66497,93.65482,81.97969,85.53299,85.7868,75.1269,89.5939,84.77157,84.51776,82.74111,89.3401,89.08629,80.45685,73.60406,82.2335,100,88.57868,87.81725,84.26395,92.13197,82.2335,82.74111,72.33502
³»ÀåÀü°ñ,38.88888,55.55555,27.77777,33.33333,38.88888,72.22222,44.44444,77.77777,44.44444,0,66.66666,0,38.88888,72.22222,55.55555,27.77777,0,44.44444,66.66666,77.77777,94.44444,100,33.33333,38.88888,38.88888,77.77777,66.66666,55.55555,88.88888,38.88888,100
³»ÀåÅÁ,72.01492,69.77611,73.88059,59.70149,66.97761,64.7388,59.88805,89.36567,84.51492,72.38805,69.96268,76.49253,75.93283,84.51492,100,69.77611,76.30597,67.35074,74.44029,72.57462,73.50746,85.44776,67.53731,76.49253,61.00746,70.70895,69.77611,73.13432,82.08955,59.88805,63.80597
³Ã±¹,86.66666,60,40,53.33333,0,80,93.33333,66.66666,100,40,73.33333,46.66666,60,66.66666,66.66666,33.33333,40,53.33333,46.66666,40,60,33.33333,40,0,0,46.66666,73.33333,0,33.33333,53.33333,53.33333
