name,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31
ÆÄ·¡ººÀ½,0,0,0,0,0,0,0,0,0,0,0,0,0,55.55555,0,0,0,0,55.55555,0,0,0,0,55.55555,0,100,0,0,0,77.77777,0
ÆÄ·¡Àü,5.68181,2.65151,1.89393,3.78787,21.5909,21.21212,26.13636,34.0909,50.75757,51.89393,57.57575,55.30303,52.65151,57.95454,53.40909,75,62.12121,64.39393,82.57575,73.10606,70.83333,65.15151,90.5303,90.15151,90.5303,83.33333,80.68181,76.13636,62.12121,100,96.21212
ÆÈº¸Ã¤,71.2192,75.14811,59.0583,36.26442,44.40286,46.58559,65.48175,65.98066,53.22731,37.69878,41.90832,44.18459,51.63704,65.20112,65.35703,44.77705,48.33177,47.05332,55.37885,54.69285,68.00748,89.67882,100,65.07639,61.70876,57.81103,60.71094,81.35328,88.83691,45.08886,47.52104
ÆÌÅ¸ÀÌ,69.8424,90.54441,80.80229,83.09455,84.38395,100,72.49283,80.65902,85.38681,81.66189,86.81948,84.02578,77.07736,74.42693,74.85673,70.4871,74.64183,76.93409,72.56446,71.9914,69.77077,76.93409,78.58166,78.00859,82.37822,79.29799,84.24068,65.54441,71.27507,78.65329,83.66762
ÆÏÁ×,75,75,71.17117,63.51351,69.59459,69.36936,69.81981,82.43243,81.98198,72.52252,74.54954,78.15315,71.39639,79.05405,84.009,75,81.98198,73.64864,79.27927,73.19819,80.18018,100,84.9099,82.88288,77.47747,82.88288,85.81081,78.37837,97.29729,93.46846,81.75675
Ç¥°í¹ö¼¸ººÀ½,49.44219,59.98985,78.19472,72.21095,74.54361,64.14807,61.2576,72.16024,90.01014,79.71602,79.71602,74.44219,66.83569,65.3144,91.37931,93.10344,85.85192,86.51115,80.88235,73.07302,73.58012,95.13184,93.05273,97.10953,80.17241,88.38742,72.10953,78.49898,95.13184,100,87.52535
Ç²°íÃßººÀ½,0,100,60,80,46.66666,60,33.33333,60,40,46.66666,66.66666,40,0,46.66666,66.66666,40,66.66666,0,40,40,0,46.66666,46.66666,40,46.66666,73.33333,0,46.66666,0,60,53.33333
Ç²°íÃßÂò,40,61.66666,80,55,35,60,61.66666,46.66666,100,85,51.66666,61.66666,41.66666,41.66666,46.66666,46.66666,33.33333,51.66666,31.66666,38.33333,51.66666,48.33333,58.33333,71.66666,53.33333,51.66666,28.33333,36.66666,23.33333,38.33333,35
Ç²¸¶´Ã¹«Ä§,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ÇÏÀÌ¶óÀÌ½º,28.27832,41.03479,56.11061,77.60927,64.7636,65.92328,39.60749,50.93666,55.21855,61.909,100,76.98483,59.94647,47.01159,50.0446,68.68867,79.92863,81.53434,63.42551,61.8198,43.26494,51.20428,78.85816,78.23371,84.29973,61.28456,55.66458,48.26048,43.97859,65.56645,77.60927
ÇÔ¹Ú½ºÅ×ÀÌÅ©,68.36158,73.8983,83.16384,75.70621,81.12994,78.64406,68.24858,82.59887,88.92655,90.96045,93.8983,88.13559,80.33898,86.66666,84.74576,92.88135,96.27118,92.54237,90.73446,88.24858,74.46327,93.22033,83.38983,91.41242,100,93.67231,83.16384,87.57062,93.55932,88.70056,97.62711
ÇØ¹°µ¤¹ä,48.8372,51.16279,53.48837,44.18604,86.04651,60.46511,41.86046,55.81395,65.11627,62.79069,100,65.11627,55.81395,65.11627,55.81395,69.76744,55.81395,69.76744,60.46511,62.79069,27.90697,79.06976,72.09302,62.79069,58.13953,79.06976,32.55813,62.79069,69.76744,51.16279,76.74418
ÇØ¹°ººÀ½,75.86206,53.44827,70.68965,46.55172,41.37931,48.27586,65.51724,56.89655,72.41379,63.7931,46.55172,62.06896,60.34482,68.96551,74.13793,44.82758,56.89655,81.03448,77.5862,50,56.89655,72.41379,51.72413,77.5862,77.5862,48.27586,63.7931,100,91.37931,74.13793,60.34482
ÇØ¹°ººÀ½¹ä,40.54054,59.45945,66.21621,45.94594,66.21621,47.29729,67.56756,59.45945,67.56756,58.1081,75.67567,68.91891,52.7027,58.1081,100,87.83783,83.78378,67.56756,86.48648,54.05405,64.86486,67.56756,81.08108,68.91891,64.86486,54.05405,74.32432,72.97297,91.89189,77.02702,77.02702
ÇØ¹°¼øµÎºÎÂî°³,15.87301,28.04232,36.50793,38.09523,34.39153,37.56613,28.04232,23.28042,31.74603,31.74603,66.66666,70.37037,84.65608,56.61375,74.07407,98.41269,78.83597,62.96296,71.95767,82.53968,80.42328,97.88359,77.24867,85.71428,70.37037,100,69.84126,70.37037,63.49206,89.94708,88.88888
ÇØ¹°Âò,100,87.98043,62.29909,33.85744,31.02725,37.59608,55.62543,75.15723,54.15793,35.1153,36.0587,34.76589,39.65758,65.09433,54.92662,38.4696,35.4647,36.2334,36.61774,43.88539,61.67016,65.16422,38.36477,41.2299,39.86722,34.45143,48.84696,68.30887,70.02096,41.36967,38.43466
