id,recipe_id,name,kcal,protein,fat,carbohydrates,sugars,sodium,cholesterol,saturated_fat
390,390,잣죽,875,19.18,19.6,155.26,2.38,882,0,1.96
391,391,장떡,137.9,2.569,5.348,19.096,1.582,186.9,0,0.812
392,392,장어구이,259,19.82,17.21,6.18,0.44,322,131.89,4.68
393,393,장어덮밥,716,30.08,22.96,97.36,5.6,920,234.56,5.16
394,394,장어탕,536,34.56,31.28,29.44,21.28,3096,270,5.04
395,395,장조림,138,9.85,7.12,8.67,6.87,628,246.68,2.07
396,396,재첩국,80.5,2.345,1.015,15.89,0,441,14.945,0.035
397,397,쟁반짜장,1305,52.65,23.67,212.67,21.78,2889,167.04,4.77
398,398,전복죽,316,7.28,14.92,38.48,0,632,34.48,0.76
399,399,전복탕,198,26.82,3,15.78,1.32,1776,291.36,0.6
400,400,전어구이,118.8,21.096,2.952,0.216,0,694.8,76.968,0.9
401,401,제육덮밥,949.4,44.321,50.619,79.242,9.306,817.8,131.318,16.074
402,402,제육볶음,350,22.96,20.66,18.22,8.2,1052,57.88,5.12
403,403,조개구이,234,31.374,3.726,18.792,6.48,817.2,45.522,0.162
404,404,조개국,64,6.68,3.56,1,0.72,1188,16.04,0.2
405,405,조기구이,318.6,34.794,19.548,0.792,0,2455.2,165.222,5.544
406,406,조기조림,384,41.1,18.81,12.81,4.5,1770,228.18,5.01
407,407,조기찜,182,20.06,10.59,1.64,0,602,138.43,2.85
408,408,족발,582.5,65.1,34.775,2.325,0,862.5,229.3,11.65
409,409,주꾸미볶음,212,18.32,5.2,22.82,5.06,918,200.76,0.6
410,410,주꾸미삼겹살,161,10.11,8.66,10.66,5.41,280,70.76,2.29
411,411,죽순볶음,276,31.464,12.857,8.694,4.761,492.2,71.231,4.876
412,412,중식우동,873.6,45.408,8.064,146.784,7.872,1939.2,276.672,2.016
413,413,중식잡채,373.5,10.35,10.08,61.11,5.085,504,24.03,2.43
414,414,쥐포조림,276,13.03,8.86,36.12,23.37,1265,50.56,1.3
415,415,쥐포튀김,357,9.62,16.49,42.5,7.96,717,28.7,2.29
416,416,지리탕,264,41.58,6.18,9.9,1.5,1476,283.08,1.08
417,417,짜장밥,483.6,14.82,10.088,81.016,11.128,936,70.148,2.236
418,418,짬뽕,464,22.32,12.32,66.08,12.56,1448,84.16,2
419,419,짬뽕밥,648,28.8,12.6,104.85,12.06,2106,142.02,2.07
420,420,쫄면,709.5,17.655,13.86,127.93,19.305,1375,0,1.21
421,421,쫄볶이,945,29.61,8.883,185.031,25.011,4107.6,68.292,3.654
422,422,찐감자,140,4.32,0.32,30.02,1.72,6,0,0.06
423,423,찐고구마,278,3.34,0.48,64.94,32.64,20,0,0.1
424,424,차돌박이구이,488,17.94,45.69,1.31,0.33,93,47.28,16.24
425,425,참깨죽,38,1,1.2,5.9,0,120,0,0
426,426,참나물,13.6,0.608,0.64,1.688,0.152,138.4,0,0.096
427,427,참치구이,347.4,47.808,16.164,2.52,0,826.2,209.682,4.968
428,428,참치덮밥,680,29.2,16.75,102.95,3,1620,115.8,3.4
429,429,참치덮밥,626.4,33.64,12.354,92.278,11.89,1977.8,35.612,1.624
430,430,참치마요네즈삼각김밥,398,11.86,16.42,50.9,0,460,20.94,2
431,431,참치볶음밥,535.5,26.061,13.158,74.46,5.763,979.2,154.785,2.703
432,432,참치죽,656,24.16,16.08,104.56,1.36,1344,40,1.84
433,433,참치회덮밥,456,28.38,4.86,72.84,9.9,528,44.64,1.14
434,434,채소전,145,3.57,4.5,22.59,2.06,259,19.62,0.89
435,435,채소튀김,321,3.6,17.3,37.6,0,279,0,0
436,436,청경채나물,14,1.06,0.58,1.59,0.23,156,0.02,0.09
437,437,청국장찌개,94,10.06,4.22,3.84,0,484,5.22,0.9
438,438,청포묵무침,47.7,1.764,1.944,6.732,0.765,243.9,8.532,0.324
