id,recipe_id,name,kcal,protein,fat,carbohydrates,sugars,sodium,cholesterol,saturated_fat
147,147,동태국,68,9.68,0.64,5.6,0,896,45.84,0.08
148,148,동태까스,245.7,10.44,14.076,17.478,2.349,346.5,48.078,2.268
149,149,동태전,195,16.48,11.63,6.11,0.26,318,136.73,1.6
150,150,동태조림,275,40.8,4.7,17.4,10.2,1392.5,218.45,1.1
151,151,동태찌개,88,12.22,2.74,3.44,0.26,546,53.36,0.4
152,152,동태찜,395,50.9,9.7,25.8,5.7,1985,284.2,1.6
153,153,동파육,191,8.99,15.41,4.15,0.74,299,31.6,4.4
154,154,돼지갈비찜,582,39.87,36.96,22.32,0.39,1434,150.21,11.04
155,155,돼지고기덮밥,544.5,26.136,8.976,86.361,6.303,471.9,75.438,2.805
156,156,돼지고기찌개,144,18.75,4.53,6.78,0.39,765,32.85,0.63
157,157,돼지고기찜,272.5,27.05,8.125,22.225,5.225,550,79.925,2.825
158,158,돼지껍데기구이,348,23.74,26.64,3.37,3.42,475,35.76,9.08
159,159,돼지두루치기,302,11.52,20.98,16.8,7.24,1208,26.72,6.72
160,160,돼지등갈비찜,963,72.09,49.185,57.42,24.12,2394,199.575,16.11
161,161,된장국,100,4.36,2.4,14.8,3.08,1428,0,0.2
162,162,된장찌개,92,6.76,3.26,8.88,0,636,0,0.54
163,163,두부김치,287.5,19.475,17.125,14.075,1.475,990,13.925,3.175
164,164,두부부침,140,10.92,9.77,2.07,0.24,429,0,1.45
165,165,두부전,255,20.46,15.87,7.5,0.03,316.5,3.285,2.01
166,166,두부전골,315,25.6,16.1,17.1,3.5,1650,8.85,2.4
167,167,두부조림,71.5,4.82,4.83,2.2,1.82,80.5,0,0.68
168,168,두부찌개,260,20.05,13.15,15.9,4,905,1.7,1.75
169,169,들깨국,26.6,1.102,1.444,2.698,0.627,209,0,0.114
170,170,땅콩조림,96.6,3.75,7.28,3.99,1.97,114.8,0,1.16
171,171,떡갈비,404,42.76,23.64,4.92,0.8,808,136.08,8.58
172,172,떡강정,498,7.58,9.44,95.78,10.68,892,0,1.92
173,173,떡국,588,24.01,3.71,114.59,0.56,1232,116.9,1.68
174,174,떡만두국,666,21.18,23.46,92.82,0.06,1236,67.98,3.42
175,175,떡볶이,259.2,6.318,5.328,46.728,7.92,703.8,4.212,0.504
176,176,라면,451,9.46,12.54,75.075,0,1556.5,0,4.51
177,177,라볶이,268,5.66,9.42,40.28,1.88,622,5.04,2.94
178,178,라조기,398,20.66,23.5,26.24,0.16,648,90.58,5.14
179,179,로제스파게티,171,5.21,8.99,17.34,3.33,244,26.26,4.05
180,180,마늘장아찌무침,39.6,0.752,0.28,8.74,4.664,322,0,0.048
181,181,마늘쫑무침,53.6,1.304,0.912,11.64,5.056,224.8,0,0.16
182,182,마라탕,66,3.91,3.27,5.1,0.26,358,4.99,0.6
183,183,마카로니샐러드,238,4.029,13.889,23.392,4.624,210.8,6.052,2.108
184,184,마파두부,174.4,11.664,10.368,8.576,3.92,563.2,10.864,1.664
185,185,막국수,570,20,5.8,109.8,9.4,3260,43.2,1
186,186,만두국,434,21.42,17.43,47.81,3.08,2366,94.5,4.27
187,187,만두전골,57,3.61,2.23,5.55,0.7,250,5.84,0.55
188,188,맛살전,330,14.96,12.48,39.38,2.28,1118,128.36,2.42
189,189,매생이국,120,10,2.8,13.4,0.4,1420,6.6,0.6
190,190,매운탕,420,58.44,16.62,9.12,1.44,1800,375.06,3.06
191,191,머위나물볶음,108,3.495,7.005,7.605,1.8,718.5,0,0.795
192,192,메밀국수,220.5,10.99,1.015,42.21,0,679,0,0.42
193,193,메밀묵,88,4,1.6,14.28,1.12,952,0,0.12
194,194,메밀소바,344,9.96,1.28,71.84,5.76,1016,0,0.32
195,195,메밀전,289.8,7.236,1.152,62.622,0.54,261,0,0.468
196,196,멘보샤,289,10.52,21.6,13.22,1,696,69.91,3.57
197,197,멸치볶음,138,19.72,3.54,6.81,5.8,1303,184.35,0.64
198,198,멸치조림,318,40.92,13.22,8.93,7.35,3163,384.78,2.27
199,199,모자반무침,19,1.29,0.4,4.36,1.3,186,0.01,0.07
200,200,무말랭이무침,48.8,1.6,0.552,9.84,3.32,221.6,0,0.096
201,201,무생채,21,0.59,0.42,4.09,2.245,161,0,0.065
202,202,무조림,72,3.39,3.57,6.435,5.805,1168.5,0.96,0.525
203,203,묵밥,646,14.82,7.695,128.63,15.105,2071,42.655,1.52
204,204,물냉면,385,13.72,4.48,72.17,31.64,1127,107.45,1.12
205,205,미나리전,226.5,5.235,7.62,34.23,1.74,249,11.88,1.23
206,206,미소된장국,37.5,2.805,1.8,2.805,0.705,517.5,0,0.195
207,207,미소라멘,89,4.57,2.77,11.36,1.1,388,20.91,0.54
208,208,미역국,48,2.6,2.44,3.48,1.08,672,0,0.2
209,209,미역냉국,28,1.2,0.38,6.22,3.98,516,0,0.08
210,210,미역줄기볶음,61.6,0.768,4.76,3.88,0.44,404,0,0.712
211,211,미역초무침,37.2,1.776,0.852,8.22,3.984,487.2,0,0.156
212,212,미역튀각,221.5,6.62,16.95,10.57,5.68,2611.5,0,2.71
213,213,미음,19,0.3,0,4.7,0,0,0,0
214,214,미트볼스파게티,900,36.7,44.4,88.1,4.45,1090,62.9,7.2
215,215,미트볼조림,331.5,27.225,16.095,19.425,15.78,472.5,44.22,3.18
216,216,배추겉절이,36.8,2.016,0.624,7.232,3.552,438.4,0.848,0.112
217,217,배추국,64,7.36,1.64,4.56,0,992,22.32,0.36
218,218,배추나물,25.2,1.414,1.022,3.43,0.994,366.8,0,0.154
219,219,배추전,240,5.16,8.67,35.52,5.025,327,7.23,1.38
220,220,백합죽,455,16.52,5.6,84.7,0,994,32.13,1.33
221,221,뱅어포구이,261.8,24.059,10.619,17.549,11.137,1035.3,328.832,2.1
222,222,버섯구이,41.6,4.128,1.104,3.824,0.088,393.6,0,0.328
223,223,버섯볶음,47,1.4,3.1,3.39,2.12,262,0,0.4
224,224,버섯샤브샤브,105,13.58,3.15,5.495,1.855,178.5,26.425,2.17
225,225,버섯전,240,10.53,14.865,16.2,2.745,313.5,100.095,2.295
226,226,버섯전골,234,15.42,12.72,14.34,3.54,438,36.99,2.94
227,227,버섯조림,90,6.57,3,9.345,2.925,453,0,2.205
228,228,버섯찌개,168,14.72,5.2,15.4,4.4,1292,16.56,1.32
229,229,병어조림,112,12.46,4.78,4.87,0.22,842,40.81,2.07
230,230,복어튀김,320,13.84,19.27,22.88,0.6,284,30.03,2.95
231,231,복찜,183.6,18.105,4.692,20.961,4.437,698.7,29.631,0.816
232,232,볶음밥,640.5,19.46,9.66,118.895,0,742,102.48,3.85
233,233,부대찌개,738,35.16,38.94,61.62,1.08,1434,66.3,10.08
234,234,부추무침,26.4,1.122,0.814,4.345,2.321,171.6,0,0.132
235,235,부추전,250.5,6.945,6.255,41.79,12.42,370.5,39.255,1.2
236,236,북어강정,379,19.22,22.07,25.82,12.17,709,53.82,3.09
237,237,북어국,112,15.56,3.92,3.36,0.48,928,86.44,0.68
238,238,북어조림,182,20.83,3.33,17.14,8.2,766,99.63,0.67
239,239,북어찜,235.5,28.095,5.7,18,6.405,901.5,153.105,0.9
240,240,북어채무침,134.1,20.853,2.385,6.498,2.016,263.7,81.63,0.396
241,241,분짜,136,5.91,3.66,19.75,5.47,398,17.97,1.15
242,242,불고기덮밥,728,26.4,21.24,107.84,0.28,1012,63.32,5.6
243,243,불낙전골,276,28,10.68,18.32,4.6,1000,52.24,3.8
244,244,붕어찜,836,54.34,36.85,71.61,16.17,3949,186.23,5.83
245,245,브로콜리볶음,45.9,3.978,1.152,4.977,1.278,84.6,0,0.198
246,246,비빔국수,113,3.4,2.1,20,0,337,0,0
247,247,비빔냉면,500,28.35,13.2,66.75,20.1,885,236.7,2.7
248,248,비빔막국수,728,21.42,6.02,150.29,26.74,1792,12.67,1.19
249,249,비빔밥,639,30.87,19.44,84.78,0.225,1044,190.17,4.275
250,250,뼈해장국,208,25.52,7.76,8.48,5.04,2768,75.6,1.68
251,251,사골국,220,22.24,9.68,11.24,0,300,76.48,3.76
252,252,사태찜,330,36.3,15.51,11.01,0.39,906,284.85,3.39
253,253,산적,340,49.402,14.552,2.635,0.102,996.2,95.455,4.097
254,254,삼겹살구이,934,45.12,83.38,0.7,0,1152,79.44,24.84
255,255,삼계탕,909,96.12,43.2,34.56,4.05,738,433.71,11.61
256,256,삼선볶음밥,688,26.24,26.48,85.76,1.6,1212,326.52,6.32
257,257,삼치구이,356,42.84,19.14,2.9,0.44,434,158.76,4.04
258,258,삼치조림,125,15.88,5.63,2.61,2.03,441,51.41,1.64
259,259,상추겉절이,19.2,0.848,0.608,3.136,1.512,134.4,0,0.096
260,260,새송이버섯볶음,13.75,0.836,0.8855,1.903,0.154,89.65,0,0.121
261,261,새송이버섯전,59.85,3.002,3.5435,5.5955,0.1615,88.35,39.1495,0.703
262,262,새우구이,261,42.138,7.992,5.076,0.054,594,421.164,1.332
263,263,새우볶음,166,19.82,4.42,11.92,7.98,652,159.34,0.76
264,264,새우볶음밥,636.4,23.347,22.718,84.545,2.627,540.2,261.664,4.403
265,265,새우전,188,9.99,11.33,11.57,1.87,349,131.08,1.95
266,266,새우탕,165,25.85,2.2,10,0.3,1340,163.65,0.45
267,267,새우튀김롤,606,14.46,18.18,96.27,11.13,1392,55.86,3.42
268,268,생선까스,654,24.34,41.1,46.56,1.96,788,72.72,7.96
269,269,선지해장국,174,23.16,5.76,7.38,0,1872,174.3,0.78
270,270,선짓국,42,6.4,1.2,1.4,0,315,0,0
271,271,설렁탕,120,21.3,2.9,1.8,0,110,34.85,1.15
272,272,소갈비찜,832.5,40.35,53.1,48.375,21.9,2182.5,121.725,18.45
273,273,소고기무국,22.4,0.832,0.544,4.096,1.248,566.4,0,0.096
274,274,소고기버섯죽,576,18.72,7.44,109.04,0.24,1264,26.08,2.72
275,275,소고기볶음,433.4,31.592,23.738,23.54,21.34,1218.8,85.36,9.416
276,276,소고기볶음밥,457.6,19.734,16.848,56.576,0.208,559,130.052,3.822
277,277,소고기산적,454,48.4,25.56,7.34,0,1392,134.84,7.06
278,278,소고기샤브샤브,427.8,27.435,18.972,37.944,3.72,1060.2,76.632,7.254
279,279,소고기스프,7,1.14,0.22,0.04,0,372,0,0.11
280,280,소고기육개장,52,4.14,2.92,2.76,0.64,210,18.32,0.88
281,281,소고기전골,189,23.67,9.72,1.38,0.15,897,48.24,2.07
282,282,소내장구이,239.2,17.55,16.978,1.95,0.26,148.2,312.962,4.758
283,283,소라산적,120,17.92,2.512,6.448,0.848,396.8,100.344,0.376
284,284,소불고기,340,32.82,19.32,8.52,6.48,836,100.04,6.52
285,285,소시지볶음,560,23.88,38.76,28.82,11.66,1774,56.82,11.6
286,286,소시지야채볶음,134,7.01,8.95,6.15,2.13,439,29.59,2.73
287,287,소유라멘,72,3.65,2.36,9.12,0.84,420,20.67,0.77
288,288,소탕,87,7.65,5.355,1.905,0.03,354,0,0.585
289,289,송이버섯덮밥,582,18.24,14.04,95.58,2.28,1680,48.18,2.76
290,290,수란,145,12.3,11.7,0.2,0,110,420,3.21
291,291,수육,498,85.29,14.82,6.12,0.33,93,264.9,5.67
292,292,수제비,377,15.015,3.38,72.02,0,923,83.525,0.975
293,293,숙주나물,11.9,0.791,0.672,1.106,0.007,117.6,0,0.105
294,294,숙주미나리나물,14.4,0.832,0.792,1.352,0.208,142.4,0,0.12
295,295,순대,411.4,6.05,8.008,78.606,3.058,1328.8,57.728,2.464
296,296,순대국,510,14.1,10.5,89.7,1.56,1980,58.02,3
297,297,순대볶음,584,20.72,21.32,76.72,5.4,1500,141.72,5.12
298,298,순대전골,342,25.245,14.31,28.26,3.06,720,78.705,5.49
299,299,순두부찌개,70,5.96,3.18,4.34,0.64,302,9.2,0.92
300,300,숯불갈비삼각김밥,161,4,1.67,32.55,0.16,358,4.04,0.53
301,301,스크램블드에그,237.6,12.991,19.349,2.816,0.495,405.9,276.452,3.52
302,302,스테이크,388,60.44,16.14,0.28,0,268,168.36,7.7
303,303,스파이시씨푸드리조또,356.68,14.0021,0,0,6.0009,665.16,0,6.0973
304,304,스팸구이,484.8,28.096,39.008,5.232,2.736,1526.4,57.104,14.416
305,305,시금치나물,16.2,0.966,0.768,1.92,0.534,158.4,0,0.12
306,306,시오라멘,84,4.68,2.13,11.54,0.93,292,23.31,0.53
307,307,쌀국수,318,15.6,4.2,55.08,4.32,1650,33.6,1.38
308,308,아구탕,246,37.8,4.92,12.78,1.8,1866,318.96,0.78
